Estados do Brasil
UF [-],C&oacute;digo [-],Gent&iacute;lico [-],Governador [2019],Capital [2010],&Aacute;rea Territorial - km&sup2; [2019],Popula&ccedil;&atilde;o estimada - pessoas [2020],Densidade demogr&aacute;fica - hab/km&sup2; [2010],Matrículas no ensino fundamental - matr&iacute;culas [2014],IDH &lt;span&gt;Índice de desenvolvimento humano&lt;/span&gt; [2010],Receitas realizadas - R$ (&times;1000) [2013],Despesas empenhadas - R$ (&times;1000) [2015],Rendimento mensal domiciliar per capita - R$ [2018],Total de ve&iacute;culos - ve&iacute;culos [2015],
Acre,12,acriano,GLADSON DE LIMA CAMELI,Rio Branco,164123.964,894470,4.47,163799,0.663,5542997.57293,5231991.53018,909,239657,
Alagoas,27,alagoano,JOSE RENAN VASCONCELOS CALHEIROS FILHO,Macei&oacute;,27843.295,3351543,112.33,539115,0.631,8372900.42475,8028587.77746,714,717559,
Amap&aacute;,16,amapaense,ANTONIO WALDEZ G&Oacute;ES DA SILVA,Macap&aacute;,142470.762,861773,4.69,138886,0.708,5226078.19787,4106034.60123,857,174330,
Amazonas,13,amazonense,WILSON MIRANDA LIMA,Manaus,1559167.889,4207714,2.23,737775,0.674,16064418.63593,14477492.37954,791,794923,
Bahia,29,baiano,RUI COSTA DOS SANTOS,Salvador,564760.427,14930634,24.82,2190287,0.660,38707825.08419,39435478.235,841,3639408,
Cear&aacute;,23,cearense,CAMILO SOBREIRA DE SANTANA,Fortaleza,148894.441,9187103,56.76,1308391,0.682,21244752.61397,21508134.92754,855,2778605,
Distrito Federal,53,brasiliense,IBANEIS ROCHA BARROS JUNIOR,Bras&iacute;lia,5760.783,3055149,444.66,397446,0.824,18478542.23642,27707119.46671,2460,1649563,
Esp&iacute;rito Santo,32,capixaba ou esp&iacute;rito-santense,JOSE RENATO CASAGRANDE,Vit&oacute;ria,46074.447,4064052,76.25,515982,0.740,17724876.67808,14198748.42883,1295,1757383,
Goi&aacute;s,52,goiano,RONALDO RAMOS CAIADO,Goi&acirc;nia,340203.329,7113540,17.65,894034,0.735,24595629.86978,21853389.62842,1323,3545533,
Maranh&atilde;o,21,maranhense,FL&Aacute;VIO DINO DE CASTRO E COSTA,S&atilde;o Lu&iacute;s,329642.182,7114598,19.81,1257625,0.639,14880771.49483,14192235.96533,605,1460158,
Mato Grosso,51,mato-grossense,MAURO MENDES FERREIRA,Cuiab&aacute;,903207.019,3526220,3.36,464859,0.725,18207010.99778,14353056.09263,1386,1796054,
Mato Grosso do Sul,50,sul-mato-grossense ou mato-grossense-do-sul,REINALDO AZAMBUJA SILVA,Campo Grande,357145.534,2809394,6.86,403150,0.729,12639023.28678,14161080.78952,1439,1405990,
Minas Gerais,31,mineiro,ROMEU ZEMA NETO,Belo Horizonte,586521.123,21292666,33.41,2745912,0.731,77966102.82918,85119036.08558,1322,9877798,
Par&aacute;,15,paraense,HELDER ZAHLUTH BARBALHO,Bel&eacute;m,1245870.798,8690745,6.07,1497064,0.646,19415191.46441,20790876.87611,863,1723096,
